,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 2,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Rank 25,Rank 26,Rank 27,Rank 28,Rank 29,Rank 3,Rank 30,Rank 31,Rank 32,Rank 33,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9
0,URSC,VSSC,PRL,URSC,URSC,URSC,URSC,URSC,URSC,VSSC,URSC,ISTRAC,URSC,URSC,VSSC,URSC,SAC,ISTRAC,URSC,URSC,VSSC,URSC,ISTRAC,URSC,URSC,SAC,URSC,VSSC,SAC,VSSC,URSC,URSC
1,SAC,URSC,SAC,SAC,SAC,VSSC,ISTRAC,SAC,NRSC,LPSC,SAC,VSSC,SCL,ISTRAC,URSC,SAC,PRL,SDSC,ISTRAC,VSSC,URSC,VSSC,SAC,ISTRAC,SAC,SCL,SAC,LPSC,PRL,LPSC,VSSC,VSSC
2,NRSC,LPSC,URSC,ISTRAC,NRSC,SAC,VSSC,NRSC,SAC,URSC,VSSC,URSC,SAC,MCF,ISTRAC,NRSC,ISTRAC,URSC,VSSC,SAC,SAC,SAC,PRL,SAC,ISTRAC,PRL,VSSC,URSC,URSC,URSC,ISTRAC,ISTRAC
3,MCF,ISTRAC,VSSC,PRL,PRL,NRSC,SAC,VSSC,VSSC,ISTRAC,ISTRAC,SDSC,PRL,SDSC,SAC,ISTRAC,SDSC,SAC,NRSC,SDSC,NRSC,NRSC,URSC,SCL,VSSC,NRSC,NRSC,SDSC,ISTRAC,ISTRAC,LPSC,NRSC
4,SCL,NRSC,SCL,NRSC,ISTRAC,ISTRAC,PRL,SDSC,ISTRAC,SDSC,SDSC,SCL,ISTRAC,VSSC,NRSC,MCF,NRSC,NRSC,SAC,ISTRAC,LPSC,LPSC,SDSC,PRL,NRSC,URSC,ISTRAC,ISTRAC,SCL,SAC,SDSC,SAC
5,SDSC,SAC,ISTRAC,VSSC,VSSC,SDSC,NRSC,ISTRAC,PRL,NRSC,PRL,SAC,VSSC,LPSC,PRL,PRL,URSC,PRL,SDSC,SCL,ISTRAC,PRL,VSSC,VSSC,LPSC,ISTRAC,IPRC,NRSC,NRSC,NRSC,SCL,SDSC
6,PRL,IPRC,SDSC,SCL,SDSC,SCL,SCL,PRL,SDSC,SAC,NRSC,PRL,NRSC,NRSC,LPSC,SCL,VSSC,SCL,SCL,LPSC,PRL,MCF,LPSC,SDSC,IPRC,VSSC,PRL,MCF,VSSC,SDSC,SAC,SCL
7,VSSC,SDSC,MCF,MCF,LPSC,PRL,SDSC,SCL,LPSC,PRL,SCL,NRSC,MCF,SAC,SDSC,VSSC,LPSC,VSSC,LPSC,PRL,SDSC,ISTRAC,MCF,NRSC,SCL,LPSC,SDSC,IPRC,LPSC,PRL,PRL,PRL
8,LPSC,MCF,LPSC,LPSC,MCF,LPSC,LPSC,LPSC,SCL,IPRC,MCF,MCF,SDSC,SCL,IPRC,SDSC,SCL,MCF,PRL,NRSC,SCL,SCL,IPRC,LPSC,PRL,MCF,LPSC,PRL,SDSC,IPRC,NRSC,MCF
9,IPRC,PRL,IPRC,IPRC,SCL,IPRC,MCF,MCF,MCF,SCL,LPSC,LPSC,LPSC,IPRC,SCL,LPSC,MCF,LPSC,MCF,MCF,IPRC,IPRC,SCL,MCF,MCF,SDSC,SCL,SAC,MCF,SCL,MCF,LPSC
10,ISTRAC,SCL,NRSC,SDSC,IPRC,MCF,IPRC,IPRC,IPRC,MCF,IPRC,IPRC,IPRC,PRL,MCF,IPRC,IPRC,IPRC,IPRC,IPRC,MCF,SDSC,NRSC,IPRC,SDSC,IPRC,MCF,SCL,IPRC,MCF,IPRC,IPRC
